brand,year,age,engine_size,power,mileage,prev_owners,value
vw,2011,7,1900,142.0,43461.0,4,2650.0
ford,2016,2,2200,157.0,6256.0,0,8150.0
ford,2014,4,1100,82.0,18829.0,1,3350.0
vw,2009,9,1500,106.0,1132.0,0,7200.0
vw,2009,9,3600,239.0,39948.0,3,6850.0
bmw,2015,3,2300,201.0,20789.0,0,18250.0
ford,2012,6,1600,118.0,6058.0,2,2950.0
kia,2014,4,1400,95.0,6922.0,0,7900.0
ford,2010,8,1800,124.0,33343.0,1,2050.0
ford,2008,10,1100,81.0,8017.0,0,2100.0
kia,2008,10,1400,88.0,500.0,2,2800.0
ford,2010,8,2200,151.0,124945.0,4,100.0
vw,2014,4,2300,164.0,27016.0,0,11000.0
bmw,2015,3,4000,314.0,55263.0,0,15800.0
vw,2008,10,1200,90.0,3761.0,1,4450.0
bmw,2017,1,4000,315.0,2336.0,0,29000.0
ford,2008,10,3000,193.0,4670.0,1,3650.0
bmw,2013,5,4500,351.0,53699.0,1,16000.0
vw,2010,8,1500,113.0,27156.0,5,1000.0
ford,2012,6,2500,175.0,4334.0,1,4900.0
vw,2016,2,3600,258.0,28947.0,1,16100.0
ford,2008,10,2500,162.0,28668.0,3,250.0
ford,2008,10,3000,192.0,9335.0,2,1700.0
ford,2017,1,1100,90.0,18203.0,0,7200.0
vw,2014,4,3600,249.0,15102.0,0,14500.0
bmw,2016,2,2500,235.0,1694.0,0,21150.0
kia,2014,4,1100,80.0,67785.0,0,4000.0
vw,2016,2,1500,121.0,20043.0,0,10400.0
vw,2010,8,2300,159.0,90934.0,0,5800.0
bmw,2009,9,2300,182.0,28228.0,1,9050.0
vw,2011,7,3600,238.0,53421.0,3,7250.0
kia,2014,4,800,59.0,2958.0,2,3650.0
vw,2013,5,2300,162.0,56410.0,1,8000.0
vw,2017,1,1700,129.0,10112.0,0,12600.0
ford,2012,6,1100,86.0,173.0,1,3400.0
vw,2017,1,1900,154.0,4673.0,0,10200.0
bmw,2013,5,2500,231.0,90982.0,0,6200.0
ford,2013,5,1400,98.0,37019.0,1,2500.0
ford,2016,2,2000,145.0,39685.0,1,5750.0
bmw,2015,3,4000,330.0,32367.0,0,19200.0
ford,2013,5,1800,128.0,2680.0,0,5800.0
bmw,2010,8,1800,168.0,97796.0,0,3500.0
vw,2014,4,2300,172.0,3159.0,1,12500.0
ford,2013,5,1400,103.0,35111.0,2,2150.0
vw,2014,4,1200,107.0,56205.0,0,6050.0
bmw,2008,10,3500,253.0,20672.0,5,3850.0
ford,2017,1,2200,165.0,3356.0,0,12250.0
kia,2008,10,1200,79.0,65389.0,1,1850.0
bmw,2014,4,2300,205.0,72063.0,1,8650.0
bmw,2017,1,4500,357.0,5123.0,0,27150.0
ford,2011,7,1600,112.0,58095.0,2,600.0
vw,2016,2,1900,153.0,2823.0,1,10650.0
kia,2017,1,800,59.0,9674.0,1,5200.0
bmw,2015,3,3000,268.0,6355.0,1,21450.0
vw,2016,2,3600,263.0,18657.0,0,19550.0
ford,2015,3,2200,154.0,25613.0,0,9300.0
ford,2015,3,3000,211.0,18978.0,1,8550.0
kia,2015,3,800,57.0,30977.0,0,3750.0
kia,2013,5,1000,69.0,409.0,2,4000.0
bmw,2008,10,4500,336.0,39774.0,4,6950.0
ford,2010,8,1600,111.0,8898.0,4,200.0
bmw,2008,10,4500,332.0,37010.0,1,10850.0
ford,2016,2,1800,135.0,2856.0,0,9050.0
bmw,2010,8,4000,286.0,29777.0,2,10750.0
vw,2014,4,1700,129.0,76949.0,0,7800.0
ford,2012,6,2000,143.0,3290.0,2,3750.0
ford,2017,1,2000,149.0,6693.0,0,10000.0
kia,2017,1,1100,83.0,3844.0,1,7700.0
ford,2017,1,1600,123.0,1099.0,1,9200.0
bmw,2011,7,2500,230.0,46941.0,3,9650.0
ford,2010,8,1800,128.0,37214.0,1,2350.0
vw,2008,10,1700,123.0,87558.0,3,950.0
bmw,2014,4,1800,170.0,67504.0,0,7350.0
ford,2011,7,2000,137.0,40150.0,0,3550.0
vw,2008,10,1700,125.0,112354.0,3,100.0
vw,2010,8,1900,132.0,4840.0,1,7400.0
ford,2015,3,1100,86.0,22112.0,0,5450.0
vw,2015,3,1900,142.0,25523.0,1,8850.0
ford,2009,9,1800,126.0,31420.0,1,1600.0
vw,2017,1,1500,116.0,110.0,0,10300.0
ford,2016,2,1100,92.0,638.0,0,6250.0
kia,2012,6,1200,81.0,20196.0,1,4200.0
kia,2012,6,1100,76.0,15387.0,1,3450.0
vw,2009,9,1900,132.0,121376.0,2,1600.0
bmw,2010,8,4000,289.0,118374.0,1,1150.0
ford,2009,9,1400,99.0,23080.0,2,750.0
vw,2015,3,3600,254.0,37817.0,0,16850.0
bmw,2014,4,2500,229.0,15920.0,0,20400.0
ford,2016,2,2500,182.0,5696.0,0,11850.0
ford,2015,3,1400,108.0,10785.0,0,5700.0
vw,2010,8,1200,88.0,102928.0,0,3850.0
ford,2008,10,2200,138.0,141232.0,3,100.0
ford,2013,5,1800,128.0,10025.0,2,4500.0
vw,2008,10,1900,130.0,21870.0,2,5000.0
vw,2016,2,2300,170.0,9575.0,1,13700.0
ford,2017,1,1800,138.0,4929.0,0,9600.0
ford,2013,5,2000,142.0,56183.0,1,3300.0
ford,2014,4,1400,107.0,103827.0,1,1600.0
ford,2011,7,2200,151.0,38110.0,0,4150.0
ford,2016,2,2200,161.0,12897.0,0,8300.0
bmw,2008,10,2300,194.0,11318.0,2,7050.0
vw,2016,2,1900,150.0,30967.0,0,10050.0
ford,2008,10,1600,112.0,58085.0,1,150.0
ferrari,2014,4,5000,443.0,66681.0,1,37150.0
ford,2014,4,1800,131.0,3489.0,1,6400.0
vw,2012,6,1900,147.0,4224.0,2,6600.0
kia,2016,2,1200,88.0,36139.0,0,6100.0
ford,2016,2,3000,209.0,11796.0,0,10750.0
bmw,2010,8,2300,192.0,84699.0,1,5200.0
vw,2009,9,1900,131.0,44448.0,4,2050.0
ford,2017,1,2000,149.0,1777.0,0,10300.0
bmw,2012,6,4000,304.0,66889.0,1,11500.0
ferrari,2017,1,4500,420.0,350.0,1,119200.0
ford,2013,5,1100,83.0,38948.0,1,2400.0
kia,2014,4,1400,95.0,23700.0,0,7850.0
ford,2015,3,1400,106.0,2294.0,1,5900.0
ford,2012,6,3000,199.0,34283.0,5,1950.0
ford,2017,1,2500,178.0,6241.0,0,10950.0
ford,2009,9,2500,165.0,47548.0,2,950.0
vw,2008,10,3600,227.0,105771.0,3,3900.0
vw,2010,8,1700,119.0,76877.0,4,1050.0
ford,2012,6,2000,143.0,22923.0,1,4150.0
bmw,2013,5,3500,285.0,877.0,0,18150.0
vw,2016,2,1200,108.0,1508.0,1,10300.0
vw,2012,6,1900,144.0,104228.0,1,5050.0
bmw,2010,8,2300,196.0,17259.0,0,9950.0
vw,2016,2,1200,102.0,11489.0,0,10100.0
vw,2009,9,3600,237.0,8072.0,1,8200.0
ford,2016,2,1400,107.0,8948.0,2,6300.0
ford,2012,6,2500,171.0,67937.0,1,3550.0
bmw,2013,5,2300,200.0,17060.0,1,16400.0
bmw,2008,10,2300,176.0,22454.0,1,6900.0
bmw,2010,8,4000,316.0,132749.0,0,700.0
ford,2011,7,2200,151.0,18251.0,3,2250.0
ford,2016,2,2200,159.0,11288.0,1,9000.0
ford,2011,7,1400,98.0,34229.0,1,2300.0
bmw,2013,5,3000,230.0,9615.0,0,17850.0
vw,2016,2,2300,173.0,35987.0,0,11550.0
vw,2008,10,1900,139.0,67113.0,2,3000.0
bmw,2011,7,1800,180.0,24379.0,0,12700.0
ford,2011,7,2000,140.0,9824.0,2,2700.0
vw,2017,1,1200,97.0,7739.0,0,10950.0
ford,2015,3,1800,135.0,10584.0,0,7050.0
ford,2013,5,2500,170.0,14723.0,1,5700.0
ford,2014,4,1400,101.0,11128.0,0,5800.0
ferrari,2015,3,4500,420.0,15304.0,0,106150.0
vw,2013,5,2300,161.0,525.0,1,10700.0
ford,2016,2,1400,111.0,5074.0,0,6100.0
vw,2008,10,1700,128.0,4864.0,1,5550.0
vw,2016,2,1700,141.0,4086.0,0,10100.0
vw,2012,6,1200,100.0,5380.0,0,8000.0
ford,2016,2,3000,214.0,568.0,1,12800.0
bmw,2015,3,1800,190.0,35397.0,0,13850.0
vw,2014,4,1200,95.0,1723.0,0,9000.0
ford,2017,1,3000,217.0,10455.0,0,13350.0
vw,2015,3,1200,107.0,12319.0,1,8100.0
vw,2013,5,1500,111.0,76148.0,2,5100.0
ford,2009,9,1400,101.0,159289.0,1,100.0
ford,2009,9,1800,117.0,30879.0,5,100.0
ford,2009,9,1400,98.0,40062.0,1,950.0
vw,2011,7,2300,167.0,10846.0,2,6750.0
ford,2008,10,2000,129.0,70181.0,1,100.0
bmw,2015,3,1800,160.0,10096.0,1,17200.0
vw,2008,10,3600,237.0,27491.0,0,8600.0
vw,2013,5,2300,173.0,62499.0,0,8800.0
vw,2010,8,1900,139.0,47728.0,0,6700.0
bmw,2008,10,4000,303.0,39383.0,3,6700.0
kia,2017,1,1100,79.0,2646.0,0,7550.0
ford,2013,5,2000,140.0,2437.0,1,6050.0
ford,2016,2,1800,134.0,7310.0,1,7000.0
vw,2008,10,1900,134.0,185671.0,2,100.0
vw,2011,7,1700,122.0,10464.0,3,4050.0
vw,2017,1,1700,142.0,5652.0,0,13800.0
ford,2014,4,2000,143.0,188949.0,0,750.0
vw,2013,5,2300,169.0,15302.0,2,9400.0
ford,2008,10,1800,120.0,42610.0,2,100.0
vw,2009,9,3600,242.0,64561.0,1,9100.0
vw,2011,7,1900,134.0,4407.0,0,10250.0
vw,2011,7,3600,249.0,171.0,2,8900.0
bmw,2014,4,2300,192.0,16972.0,0,16350.0
ford,2010,8,1800,124.0,69995.0,0,1750.0
ford,2015,3,2000,141.0,53869.0,0,5850.0
ford,2010,8,1100,85.0,25495.0,3,100.0
kia,2014,4,1200,86.0,4346.0,0,6500.0
vw,2015,3,2300,176.0,8990.0,0,13400.0
ferrari,2016,2,3600,399.0,1851.0,0,122500.0
vw,2013,5,1200,103.0,23231.0,0,6400.0
bmw,2015,3,4500,356.0,7464.0,0,29500.0
vw,2014,4,3600,248.0,16258.0,2,10900.0
vw,2015,3,1700,134.0,9187.0,0,10400.0
ford,2014,4,1100,84.0,41638.0,0,4250.0
ford,2015,3,1400,105.0,25882.0,1,5050.0
vw,2012,6,1900,138.0,24093.0,2,5300.0
bmw,2010,8,2500,205.0,5476.0,2,8150.0
ford,2010,8,2500,164.0,33929.0,1,3250.0
kia,2009,9,1000,69.0,39855.0,0,2750.0
ford,2008,10,1800,120.0,98853.0,3,100.0
kia,2016,2,1400,101.0,19410.0,0,8500.0
vw,2012,6,2300,158.0,11507.0,0,8950.0
bmw,2012,6,1800,183.0,44531.0,0,12950.0
ford,2015,3,2500,177.0,25827.0,3,5650.0
ford,2011,7,2500,164.0,10264.0,3,2750.0
ford,2011,7,2200,151.0,21721.0,2,2650.0
vw,2008,10,1500,107.0,48520.0,2,2550.0
ford,2017,1,2200,166.0,8720.0,0,11450.0
ford,2009,9,3000,193.0,48125.0,1,2250.0
kia,2010,8,1100,73.0,43404.0,2,1500.0
ford,2011,7,2200,148.0,1246.0,3,2300.0
bmw,2012,6,2300,217.0,8744.0,0,15000.0
vw,2009,9,1900,128.0,11455.0,4,3200.0
kia,2016,2,1400,101.0,5626.0,0,8350.0
kia,2016,2,1000,71.0,12378.0,0,7350.0
vw,2016,2,3600,267.0,10428.0,0,17800.0
vw,2017,1,1200,103.0,562.0,0,11200.0
ford,2015,3,1400,104.0,45610.0,4,2450.0
ford,2016,2,2200,158.0,7283.0,2,7900.0
ford,2008,10,2200,144.0,59770.0,1,500.0
vw,2013,5,1500,121.0,23140.0,0,7550.0
bmw,2017,1,3000,256.0,1153.0,0,26300.0
bmw,2015,3,4000,321.0,63077.0,0,16350.0
ford,2016,2,3000,210.0,17825.0,1,12000.0
vw,2012,6,1200,93.0,44836.0,1,5850.0
kia,2016,2,1400,102.0,5220.0,1,8650.0
ford,2012,6,2200,154.0,14766.0,0,5300.0
vw,2008,10,2300,160.0,24462.0,1,6400.0
ford,2013,5,1400,100.0,1476.0,0,3450.0
kia,2011,7,1100,76.0,4879.0,3,2450.0
ford,2015,3,1600,118.0,728.0,0,7750.0
vw,2014,4,1700,138.0,2625.0,1,8600.0
ford,2008,10,1800,122.0,260995.0,1,100.0
ford,2016,2,2000,142.0,2436.0,0,9100.0
vw,2014,4,1500,113.0,13307.0,2,7050.0
ford,2014,4,1600,118.0,26576.0,1,5400.0
vw,2013,5,2300,164.0,5482.0,1,9550.0
ford,2008,10,1100,78.0,64260.0,3,100.0
vw,2011,7,1200,99.0,75796.0,3,1600.0
ford,2010,8,2200,149.0,12942.0,2,2500.0
ford,2011,7,1600,109.0,11768.0,1,3150.0
bmw,2016,2,3500,311.0,6173.0,1,28350.0
bmw,2015,3,2300,200.0,36366.0,1,13850.0
ford,2009,9,2500,159.0,31343.0,4,100.0
vw,2015,3,3600,251.0,36019.0,0,14950.0
ford,2008,10,3000,185.0,9036.0,1,2550.0
vw,2010,8,3600,234.0,48428.0,1,9550.0
ford,2008,10,2500,160.0,92730.0,3,100.0
vw,2011,7,1700,125.0,108805.0,0,5000.0
ford,2017,1,2200,167.0,23570.0,0,11900.0
bmw,2010,8,4000,300.0,17144.0,3,9650.0
vw,2016,2,1500,124.0,32098.0,2,7150.0
ford,2015,3,1800,127.0,7405.0,1,6150.0
bmw,2014,4,4500,346.0,10964.0,0,26500.0
kia,2017,1,1400,100.0,5294.0,1,8900.0
vw,2015,3,2300,178.0,30069.0,0,11300.0
kia,2015,3,800,61.0,7955.0,1,4350.0
bmw,2015,3,2300,226.0,11893.0,2,19900.0
vw,2016,2,2300,175.0,2216.0,2,11350.0
bmw,2009,9,3500,269.0,70734.0,1,10050.0
ford,2009,9,1100,77.0,3464.0,0,2350.0
ford,2013,5,2500,170.0,98618.0,2,2200.0
ford,2012,6,2000,135.0,1655.0,1,4350.0
vw,2016,2,2300,172.0,1102.0,0,12300.0
ford,2009,9,1100,82.0,67859.0,1,100.0
bmw,2016,2,3500,292.0,29593.0,0,22500.0
vw,2008,10,1900,139.0,3726.0,4,2550.0
bmw,2013,5,3500,277.0,51928.0,1,15900.0
ford,2017,1,2000,146.0,10037.0,0,9300.0
vw,2012,6,2300,171.0,143080.0,1,4100.0
ford,2016,2,1400,104.0,11226.0,0,6300.0
vw,2015,3,1700,131.0,26104.0,0,10750.0
ford,2017,1,1600,126.0,946.0,0,8650.0
vw,2009,9,1200,95.0,111013.0,1,1550.0
ford,2010,8,1800,124.0,51460.0,0,2200.0
vw,2016,2,1500,125.0,19018.0,1,9450.0
kia,2013,5,800,57.0,21372.0,1,2900.0
ford,2013,5,1800,129.0,20740.0,3,3600.0
ford,2017,1,2000,145.0,52.0,0,12350.0
kia,2008,10,1200,77.0,2524.0,1,2650.0
ford,2008,10,2500,160.0,38315.0,3,100.0
bmw,2014,4,2300,227.0,4710.0,0,18650.0
bmw,2014,4,3500,298.0,25255.0,2,18800.0
ford,2016,2,1800,133.0,22203.0,0,8900.0
bmw,2010,8,2300,194.0,10774.0,0,11500.0
vw,2013,5,2300,161.0,5940.0,1,9750.0
bmw,2011,7,3500,291.0,11279.0,3,12900.0
bmw,2016,2,2300,193.0,371.0,0,20150.0
vw,2016,2,1900,150.0,24295.0,0,11900.0
ford,2008,10,1800,121.0,112156.0,1,100.0
ford,2013,5,1400,106.0,62533.0,1,2350.0
ford,2015,3,1800,136.0,23759.0,0,7900.0
bmw,2008,10,3000,234.0,61193.0,3,6550.0
ford,2017,1,1600,125.0,4801.0,0,10950.0
ford,2012,6,1600,112.0,21704.0,0,3900.0
ford,2011,7,1400,103.0,88205.0,1,300.0
ford,2008,10,1600,112.0,99127.0,1,100.0
vw,2014,4,1900,142.0,27418.0,0,10700.0
ford,2008,10,2200,145.0,45288.0,1,900.0
vw,2016,2,2300,171.0,3101.0,0,13100.0
bmw,2016,2,3000,261.0,10996.0,0,23400.0
ford,2017,1,2200,163.0,3518.0,0,11300.0
bmw,2013,5,3500,261.0,16449.0,2,14150.0
vw,2010,8,3600,237.0,27534.0,0,10150.0
ford,2017,1,3000,216.0,181.0,0,13200.0
vw,2009,9,1700,127.0,217305.0,4,100.0
kia,2009,9,800,54.0,29988.0,1,1700.0
ford,2010,8,2500,164.0,135373.0,0,100.0
bmw,2016,2,4000,325.0,5.0,0,27300.0
vw,2009,9,1700,124.0,85327.0,1,3750.0
ford,2013,5,2000,140.0,57746.0,1,3500.0
vw,2012,6,1500,114.0,56973.0,4,2550.0
ford,2014,4,1400,102.0,18852.0,1,4450.0
ford,2008,10,3000,191.0,4156.0,2,2150.0
vw,2013,5,3600,248.0,3328.0,1,12500.0
ford,2013,5,2500,169.0,34845.0,0,5600.0
vw,2014,4,3600,258.0,1607.0,2,13650.0
bmw,2012,6,2500,220.0,29190.0,1,14100.0
ford,2013,5,2500,173.0,2293.0,0,7350.0
bmw,2016,2,4000,325.0,7492.0,0,25450.0
ford,2010,8,1600,109.0,14957.0,0,3600.0
kia,2017,1,1200,89.0,10383.0,0,8550.0
vw,2013,5,1500,110.0,4631.0,3,5750.0
ford,2010,8,3000,198.0,67532.0,2,1300.0
bmw,2013,5,3000,232.0,3235.0,0,17950.0
vw,2013,5,3600,249.0,9400.0,1,15100.0
kia,2008,10,800,52.0,51595.0,2,250.0
vw,2014,4,1200,101.0,25803.0,1,7450.0
ford,2012,6,1400,103.0,29484.0,0,3350.0
ford,2011,7,2200,152.0,13753.0,3,2350.0
ford,2017,1,2200,158.0,32920.0,0,10850.0
ford,2012,6,3000,196.0,4627.0,1,6400.0
ford,2010,8,2200,144.0,64801.0,6,100.0
ford,2009,9,2500,164.0,3563.0,1,3300.0
bmw,2011,7,2300,187.0,84375.0,3,2100.0
bmw,2014,4,4000,318.0,4437.0,0,23100.0
bmw,2014,4,4000,299.0,16015.0,0,18350.0
ford,2010,8,1400,94.0,17573.0,2,1450.0
bmw,2008,10,3000,233.0,248699.0,0,100.0
kia,2012,6,800,57.0,17292.0,1,2650.0
vw,2016,2,1500,120.0,12152.0,1,9350.0
kia,2016,2,1200,88.0,6.0,0,8150.0
vw,2008,10,1200,99.0,35179.0,1,3000.0
bmw,2011,7,1800,188.0,4438.0,1,9350.0
bmw,2010,8,4000,316.0,53634.0,0,13150.0
bmw,2012,6,4000,299.0,18435.0,2,16000.0
ford,2008,10,2000,136.0,85608.0,6,100.0
vw,2008,10,1900,138.0,43257.0,1,4600.0
kia,2017,1,1200,88.0,5221.0,0,9000.0
ford,2017,1,2200,165.0,5246.0,1,9500.0
ford,2010,8,1600,114.0,22030.0,6,100.0
kia,2013,5,1100,77.0,71044.0,1,2700.0
vw,2011,7,1200,97.0,3198.0,0,7250.0
ford,2011,7,1400,96.0,43467.0,3,100.0
vw,2012,6,2300,168.0,1017.0,0,9700.0
vw,2009,9,1200,86.0,93960.0,1,2000.0
ford,2008,10,1400,97.0,5778.0,1,1550.0
ford,2012,6,1800,128.0,6528.0,1,3800.0
ford,2013,5,2500,174.0,1817.0,1,7000.0
kia,2012,6,1200,84.0,20263.0,1,4150.0
ford,2014,4,1400,103.0,5741.0,1,5050.0
